game_id,name,platform_name,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
35,Dungeon Keeper,PC (Microsoft Windows),55,NULL,10.0000,0,85.7069,148
35,Dungeon Keeper,Mac,55,NULL,10.0000,0,85.7069,148
35,Dungeon Keeper,Android,55,NULL,10.0000,0,85.7069,148
8293,Discworld Noir,PC (Microsoft Windows),11,NULL,NULL,NULL,92.3020,20
11226,Anstoss 3,PC (Microsoft Windows),2,NULL,NULL,NULL,99.3409,11
7675,Hard West,Linux,13,NULL,70.2857,8,69.0482,17
7675,Hard West,PC (Microsoft Windows),13,NULL,70.2857,8,69.0482,17
7675,Hard West,Mac,13,NULL,70.2857,8,69.0482,17
7675,Hard West,PlayStation 4,13,NULL,70.2857,8,69.0482,17
7675,Hard West,Nintendo Switch,13,NULL,70.2857,8,69.0482,17
322,Blade Runner,PC (Microsoft Windows),21,NULL,NULL,NULL,85.6769,57
4415,Magic Carpet,PC (Microsoft Windows),5,NULL,75.0000,1,80.0827,19
4415,Magic Carpet,Mac,5,NULL,75.0000,1,80.0827,19
513,Phantasy Star Online 2,PC (Microsoft Windows),18,NULL,76.6667,3,71.4909,18
513,Phantasy Star Online 2,PlayStation 4,18,NULL,76.6667,3,71.4909,18
513,Phantasy Star Online 2,Xbox One,18,NULL,76.6667,3,71.4909,18
55038,Immortal: Unchained,PC (Microsoft Windows),23,4,45.3333,3,50.7427,16
55038,Immortal: Unchained,PlayStation 4,23,4,45.3333,3,50.7427,16
55038,Immortal: Unchained,Xbox One,23,4,45.3333,3,50.7427,16
908,Tom Clancy's Rainbow Six 3: Raven Shield,PC (Microsoft Windows),13,NULL,81.6667,3,80.6457,42
908,Tom Clancy's Rainbow Six 3: Raven Shield,Mac,13,NULL,81.6667,3,80.6457,42
9908,TrackMania United,PC (Microsoft Windows),6,NULL,78.5000,2,79.9708,15
39188,Despicable Me: Minion Rush,PC (Microsoft Windows),1,NULL,NULL,NULL,60.6888,15
39188,Despicable Me: Minion Rush,Android,1,NULL,NULL,NULL,60.6888,15
39188,Despicable Me: Minion Rush,iOS,1,NULL,NULL,NULL,60.6888,15
11600,Corpse Party BloodCovered: ...Repeated Fear,iOS,4,NULL,NULL,NULL,73.0529,15
109533,Assassin's Creed III: Liberation - Remastered,PC (Microsoft Windows),1,NULL,NULL,NULL,69.8604,12
109533,Assassin's Creed III: Liberation - Remastered,PlayStation 4,1,NULL,NULL,NULL,69.8604,12
109533,Assassin's Creed III: Liberation - Remastered,Xbox One,1,NULL,NULL,NULL,69.8604,12
109533,Assassin's Creed III: Liberation - Remastered,Nintendo Switch,1,NULL,NULL,NULL,69.8604,12
2593,Cube World,Linux,5,2,0.0000,1,65.0040,22
2593,Cube World,PC (Microsoft Windows),5,2,0.0000,1,65.0040,22
2593,Cube World,Mac,5,2,0.0000,1,65.0040,22
7222,Two Worlds,PC (Microsoft Windows),17,NULL,62.5000,3,66.1996,53
488,Kane & Lynch 2: Dog Days,PC (Microsoft Windows),28,NULL,69.4286,8,67.7567,94
5244,Transformers: The Game,PC (Microsoft Windows),12,NULL,56.7500,10,67.6493,42
5180,Spider-Man: Friend or Foe,PC (Microsoft Windows),8,NULL,55.0000,6,57.7596,32
2698,Tony Hawk's Underground,PC (Microsoft Windows),34,NULL,80.0000,3,79.7778,137
165126,Crysis 2 Remastered,PC (Microsoft Windows),2,NULL,NULL,NULL,74.3867,12
165126,Crysis 2 Remastered,PlayStation 4,2,NULL,NULL,NULL,74.3867,12
165126,Crysis 2 Remastered,Xbox One,2,NULL,NULL,NULL,74.3867,12
165126,Crysis 2 Remastered,Nintendo Switch,2,NULL,NULL,NULL,74.3867,12
3275,Z,PC (Microsoft Windows),10,NULL,NULL,NULL,70.9939,34
3275,Z,Mac,10,NULL,NULL,NULL,70.9939,34
3275,Z,Android,10,NULL,NULL,NULL,70.9939,34
3275,Z,iOS,10,NULL,NULL,NULL,70.9939,34
61,Monkey Island 2: LeChuck's Revenge,Mac,171,NULL,NULL,NULL,88.7881,458
5850,Grand Theft Auto: The Trilogy,PC (Microsoft Windows),21,NULL,NULL,NULL,88.0967,18
5850,Grand Theft Auto: The Trilogy,Mac,21,NULL,NULL,NULL,88.0967,18
5850,Grand Theft Auto: The Trilogy,PlayStation 4,21,NULL,NULL,NULL,88.0967,18
877,Star Trek: Voyager - Elite Force,PC (Microsoft Windows),6,NULL,80.0000,1,75.1832,28
877,Star Trek: Voyager - Elite Force,Mac,6,NULL,80.0000,1,75.1832,28
7739,Might and Magic VII: For Blood and Honor,PC (Microsoft Windows),11,NULL,NULL,NULL,89.0417,22
8137,"Sheep, Dog 'n' Wolf",PC (Microsoft Windows),7,NULL,NULL,NULL,70.7887,21
2470,Virtua Cop 2,PC (Microsoft Windows),5,NULL,NULL,NULL,72.1194,35
926,Unreal Tournament 2003,Linux,36,NULL,NULL,NULL,83.6976,104
926,Unreal Tournament 2003,PC (Microsoft Windows),36,NULL,NULL,NULL,83.6976,104
926,Unreal Tournament 2003,Mac,36,NULL,NULL,NULL,83.6976,104
239,StarCraft II: Wings of Liberty,PC (Microsoft Windows),257,NULL,89.4000,9,87.2661,820
239,StarCraft II: Wings of Liberty,Mac,257,NULL,89.4000,9,87.2661,820
77354,Injustice: Gods Among Us,Android,2,1,NULL,NULL,73.7713,11
77354,Injustice: Gods Among Us,iOS,2,1,NULL,NULL,73.7713,11
24930,Off,PC (Microsoft Windows),8,NULL,NULL,NULL,95.6851,41
5565,Golden Axe,Linux,40,NULL,65.0000,2,76.2058,178
5565,Golden Axe,PC (Microsoft Windows),40,NULL,65.0000,2,76.2058,178
5565,Golden Axe,Mac,40,NULL,65.0000,2,76.2058,178
114420,When the Darkness comes,PC (Microsoft Windows),1,1,90.0000,1,70.1549,16
75092,Cube Escape: Seasons,PC (Microsoft Windows),1,NULL,NULL,NULL,71.3139,24
75092,Cube Escape: Seasons,Mac,1,NULL,NULL,NULL,71.3139,24
75092,Cube Escape: Seasons,Android,1,NULL,NULL,NULL,71.3139,24
75092,Cube Escape: Seasons,iOS,1,NULL,NULL,NULL,71.3139,24
75092,Cube Escape: Seasons,Web browser,1,NULL,NULL,NULL,71.3139,24
4180,Star Wars: Bounty Hunter,PlayStation 4,7,NULL,60.0000,1,63.8218,18
725,Galactic Civilizations II: Dread Lords,PC (Microsoft Windows),1,NULL,86.0000,3,72.7546,14
10949,Ys Origin,PC (Microsoft Windows),5,NULL,80.2000,11,80.6359,36
10949,Ys Origin,PlayStation 4,5,NULL,80.2000,11,80.6359,36
10949,Ys Origin,Xbox One,5,NULL,80.2000,11,80.6359,36
10949,Ys Origin,Nintendo Switch,5,NULL,80.2000,11,80.6359,36
8145,Spelunky Classic,PC (Microsoft Windows),18,NULL,94.3750,0,85.7791,36
8361,Transformers: Fall of Cybertron,PC (Microsoft Windows),16,NULL,80.6364,11,72.3330,39
8361,Transformers: Fall of Cybertron,PlayStation 4,16,NULL,80.6364,11,72.3330,39
8361,Transformers: Fall of Cybertron,Xbox One,16,NULL,80.6364,11,72.3330,39
31198,Eternal Card Game,PC (Microsoft Windows),5,NULL,NULL,NULL,63.8590,21
31198,Eternal Card Game,Mac,5,NULL,NULL,NULL,63.8590,21
31198,Eternal Card Game,Android,5,NULL,NULL,NULL,63.8590,21
31198,Eternal Card Game,iOS,5,NULL,NULL,NULL,63.8590,21
31198,Eternal Card Game,Xbox One,5,NULL,NULL,NULL,63.8590,21
31198,Eternal Card Game,Nintendo Switch,5,NULL,NULL,NULL,63.8590,21
7514,King's Quest VII: The Princeless Bride,PC (Microsoft Windows),5,NULL,NULL,NULL,70.3651,17
7514,King's Quest VII: The Princeless Bride,Mac,5,NULL,NULL,NULL,70.3651,17
6328,Legend of Grimrock,Linux,33,NULL,75.0000,4,79.8140,85
6328,Legend of Grimrock,PC (Microsoft Windows),33,NULL,75.0000,4,79.8140,85
6328,Legend of Grimrock,Mac,33,NULL,75.0000,4,79.8140,85
6328,Legend of Grimrock,iOS,33,NULL,75.0000,4,79.8140,85
2448,Quantum Conundrum,PC (Microsoft Windows),10,NULL,74.0909,11,70.6998,37
5152,Shaun White Snowboarding,PC (Microsoft Windows),6,NULL,60.6667,4,77.9990,13
5152,Shaun White Snowboarding,Mac,6,NULL,60.6667,4,77.9990,13
5152,Shaun White Snowboarding,iOS,6,NULL,60.6667,4,77.9990,13
494,Bulletstorm,PC (Microsoft Windows),85,NULL,87.1429,10,79.4680,302
11081,Amplitude,PlayStation 4,1,NULL,78.3333,8,73.2366,14
6943,Condemned 2: Bloodshot,PC (Microsoft Windows),9,NULL,85.4000,8,74.4799,36
5504,Transport Tycoon,iOS,9,NULL,NULL,NULL,87.5283,30
180,Full Throttle,PC (Microsoft Windows),49,NULL,87.0000,1,83.2229,142
180,Full Throttle,Mac,49,NULL,87.0000,1,83.2229,142
4331,Cyberia,Linux,5,NULL,NULL,NULL,73.1242,14
4331,Cyberia,PC (Microsoft Windows),5,NULL,NULL,NULL,73.1242,14
4331,Cyberia,Mac,5,NULL,NULL,NULL,73.1242,14
117525,Kingdom Hearts Dream Drop Distance HD,PC (Microsoft Windows),6,NULL,NULL,NULL,71.3776,25
117525,Kingdom Hearts Dream Drop Distance HD,PlayStation 4,6,NULL,NULL,NULL,71.3776,25
117525,Kingdom Hearts Dream Drop Distance HD,Xbox One,6,NULL,NULL,NULL,71.3776,25
117525,Kingdom Hearts Dream Drop Distance HD,Nintendo Switch,6,NULL,NULL,NULL,71.3776,25
4964,Kung Fu Panda,PC (Microsoft Windows),5,NULL,73.0000,6,67.8015,39
7234,Viking: Battle for Asgard,PC (Microsoft Windows),11,NULL,70.0000,5,69.2120,29
134602,Bugsnax,PC (Microsoft Windows),7,1,76.2857,9,74.8724,38
134602,Bugsnax,Mac,7,1,76.2857,9,74.8724,38
134602,Bugsnax,PlayStation 4,7,1,76.2857,9,74.8724,38
134602,Bugsnax,Xbox One,7,1,76.2857,9,74.8724,38
134602,Bugsnax,Nintendo Switch,7,1,76.2857,9,74.8724,38
134602,Bugsnax,PlayStation 5,7,1,76.2857,9,74.8724,38
7116,Freedom Planet,Linux,16,1,82.4286,8,71.3003,42
7116,Freedom Planet,PC (Microsoft Windows),16,1,82.4286,8,71.3003,42
7116,Freedom Planet,Mac,16,1,82.4286,8,71.3003,42
7116,Freedom Planet,PlayStation 4,16,1,82.4286,8,71.3003,42
7116,Freedom Planet,Nintendo Switch,16,1,82.4286,8,71.3003,42
1373,F1 2012,PC (Microsoft Windows),6,NULL,76.5000,6,73.1203,24
1373,F1 2012,Mac,6,NULL,76.5000,6,73.1203,24
133131,The Mortuary Assistant,PC (Microsoft Windows),2,1,NULL,NULL,79.3238,14
133131,The Mortuary Assistant,Nintendo Switch,2,1,NULL,NULL,79.3238,14
8971,Football Manager 2006,PC (Microsoft Windows),3,NULL,85.0000,2,77.1602,17
8971,Football Manager 2006,Mac,3,NULL,85.0000,2,77.1602,17
142391,Stumble Guys,PC (Microsoft Windows),2,NULL,NULL,NULL,65.5047,17
142391,Stumble Guys,Android,2,NULL,NULL,NULL,65.5047,17
142391,Stumble Guys,iOS,2,NULL,NULL,NULL,65.5047,17
142391,Stumble Guys,Xbox One,2,NULL,NULL,NULL,65.5047,17
191408,Nintendo Switch Sports,Nintendo Switch,2,NULL,72.4286,10,72.2208,18
7590,Escape Goat,Linux,5,NULL,NULL,NULL,71.1888,12
7590,Escape Goat,PC (Microsoft Windows),5,NULL,NULL,NULL,71.1888,12
7590,Escape Goat,Mac,5,NULL,NULL,NULL,71.1888,12
7590,Escape Goat,Nintendo Switch,5,NULL,NULL,NULL,71.1888,12
2040,Knights of Honor,PC (Microsoft Windows),8,NULL,79.0000,1,82.8697,21
83504,Wildermyth,Linux,2,NULL,88.5000,2,81.8860,22
83504,Wildermyth,PC (Microsoft Windows),2,NULL,88.5000,2,81.8860,22
83504,Wildermyth,Mac,2,NULL,88.5000,2,81.8860,22
1012,Gotham City Impostors,PC (Microsoft Windows),9,NULL,73.1429,8,69.7313,33
7601,Plague Inc: Evolved,Linux,39,2,80.0000,3,78.4038,115
7601,Plague Inc: Evolved,PC (Microsoft Windows),39,2,80.0000,3,78.4038,115
7601,Plague Inc: Evolved,Mac,39,2,80.0000,3,78.4038,115
7601,Plague Inc: Evolved,PlayStation 4,39,2,80.0000,3,78.4038,115
7601,Plague Inc: Evolved,Xbox One,39,2,80.0000,3,78.4038,115
